x, u_gen, u_spec
0.037104, 0.272880, 0.272880
0.037204, 0.273469, 0.273469
0.037304, 0.274058, 0.274058
0.037404, 0.274647, 0.274647
0.037504, 0.275234, 0.275234
0.037604, 0.275821, 0.275821
0.037704, 0.276408, 0.276408
0.037804, 0.276993, 0.276993
0.037904, 0.277578, 0.277578
0.038004, 0.278162, 0.278162
0.038104, 0.278746, 0.278746
0.038204, 0.279329, 0.279329
0.038304, 0.279911, 0.279911
0.038404, 0.280493, 0.280493
0.038504, 0.281073, 0.281073
0.038604, 0.281654, 0.281654
0.038704, 0.282233, 0.282233
0.038804, 0.282812, 0.282812
0.038904, 0.283390, 0.283390
0.039004, 0.283967, 0.283967
0.039104, 0.284544, 0.284544
0.039204, 0.285120, 0.285120
0.039304, 0.285696, 0.285696
0.039404, 0.286270, 0.286270
0.039504, 0.286844, 0.286844
0.039604, 0.287418, 0.287418
0.039704, 0.287990, 0.287990
0.039804, 0.288563, 0.288563
0.039904, 0.289134, 0.289134
0.040004, 0.289705, 0.289705
0.040104, 0.290275, 0.290275
0.040204, 0.290844, 0.290844
0.040304, 0.291413, 0.291413
0.040404, 0.291981, 0.291981
0.040504, 0.292548, 0.292548
0.040604, 0.293115, 0.293115
0.040704, 0.293681, 0.293681
0.040804, 0.294246, 0.294246
0.040904, 0.294811, 0.294811
0.041004, 0.295375, 0.295375
0.041104, 0.295938, 0.295938
0.041204, 0.296501, 0.296501
0.041304, 0.297063, 0.297063
0.041404, 0.297624, 0.297624
0.041504, 0.298185, 0.298185
0.041604, 0.298745, 0.298745
0.041704, 0.299304, 0.299304
0.041804, 0.299863, 0.299863
0.041904, 0.300421, 0.300421
0.042004, 0.300978, 0.300978
0.042104, 0.301535, 0.301535
0.042204, 0.302091, 0.302091
0.042304, 0.302647, 0.302647
0.042404, 0.303202, 0.303202
0.042504, 0.303756, 0.303756
0.042604, 0.304309, 0.304309
0.042704, 0.304862, 0.304862
0.042804, 0.305414, 0.305414
0.042904, 0.305966, 0.305966
0.043004, 0.306517, 0.306517
0.043104, 0.307067, 0.307067
0.043204, 0.307616, 0.307616
0.043304, 0.308165, 0.308165
0.043404, 0.308713, 0.308713
0.043504, 0.309261, 0.309261
0.043604, 0.309808, 0.309808
0.043704, 0.310354, 0.310354
0.043804, 0.310900, 0.310900
0.043904, 0.311445, 0.311445
0.044004, 0.311989, 0.311989
0.044104, 0.312533, 0.312533
0.044204, 0.313076, 0.313076
0.044304, 0.313619, 0.313619
0.044404, 0.314161, 0.314161
0.044504, 0.314702, 0.314702
0.044604, 0.315242, 0.315242
0.044704, 0.315782, 0.315782
0.044804, 0.316321, 0.316321
0.044904, 0.316860, 0.316860
0.045005, 0.317398, 0.317398
0.045105, 0.317935, 0.317935
0.045205, 0.318472, 0.318472
0.045305, 0.319008, 0.319008
0.045405, 0.319544, 0.319544
0.045505, 0.320078, 0.320078
0.045605, 0.320613, 0.320613
0.045705, 0.321146, 0.321146
0.045805, 0.321679, 0.321679
0.045905, 0.322211, 0.322211
0.046005, 0.322743, 0.322743
0.046105, 0.323274, 0.323274
0.046205, 0.323804, 0.323804
0.046305, 0.324334, 0.324334
0.046405, 0.324863, 0.324863
0.046505, 0.325392, 0.325392
0.046605, 0.325919, 0.325919
0.046705, 0.326447, 0.326447
0.046805, 0.326973, 0.326973
0.046905, 0.327499, 0.327499
0.047005, 0.328025, 0.328025
0.047105, 0.328549, 0.328549
0.047205, 0.329073, 0.329073
0.047305, 0.329597, 0.329597
0.047405, 0.330120, 0.330120
0.047505, 0.330642, 0.330642
0.047605, 0.331163, 0.331163
0.047705, 0.331684, 0.331684
0.047805, 0.332205, 0.332205
0.047905, 0.332725, 0.332725
0.048005, 0.333244, 0.333244
0.048105, 0.333762, 0.333762
0.048205, 0.334280, 0.334280
0.048305, 0.334797, 0.334797
0.048405, 0.335314, 0.335314
0.048505, 0.335830, 0.335830
0.048605, 0.336345, 0.336345
0.048705, 0.336860, 0.336860
0.048805, 0.337374, 0.337374
0.048905, 0.337888, 0.337888
0.049005, 0.338401, 0.338401
0.049105, 0.338913, 0.338913
0.049205, 0.339425, 0.339425
0.049305, 0.339936, 0.339936
0.049405, 0.340447, 0.340447
0.049505, 0.340957, 0.340957
0.049605, 0.341466, 0.341466
0.049705, 0.341975, 0.341975
0.049805, 0.342483, 0.342483
0.049905, 0.342990, 0.342990
0.050005, 0.343497, 0.343497
0.050105, 0.344003, 0.344003
0.050205, 0.344509, 0.344509
0.050305, 0.345014, 0.345014
0.050405, 0.345518, 0.345518
0.050505, 0.346022, 0.346022
0.050605, 0.346525, 0.346525
0.050705, 0.347028, 0.347028
0.050805, 0.347530, 0.347530
0.050905, 0.348031, 0.348031
0.051005, 0.348532, 0.348532
0.051105, 0.349032, 0.349032
0.051205, 0.349532, 0.349532
0.051305, 0.350031, 0.350031
0.051405, 0.350530, 0.350530
0.051505, 0.351027, 0.351027
0.051605, 0.351525, 0.351525
0.051705, 0.352021, 0.352021
0.051805, 0.352517, 0.352517
0.051905, 0.353013, 0.353013
0.052005, 0.353508, 0.353508
0.052105, 0.354002, 0.354002
0.052205, 0.354495, 0.354495
0.052305, 0.354988, 0.354988
0.052405, 0.355481, 0.355481
0.052505, 0.355973, 0.355973
0.052605, 0.356464, 0.356464
0.052705, 0.356955, 0.356955
0.052805, 0.357445, 0.357445
0.052905, 0.357934, 0.357934
0.053005, 0.358423, 0.358423
0.053105, 0.358912, 0.358912
0.053205, 0.359399, 0.359399
0.053305, 0.359887, 0.359887
0.053405, 0.360373, 0.360373
0.053505, 0.360859, 0.360859
0.053605, 0.361344, 0.361344
0.053705, 0.361829, 0.361829
0.053805, 0.362314, 0.362314
0.053905, 0.362797, 0.362797
0.054005, 0.363280, 0.363280
0.054105, 0.363763, 0.363763
0.054205, 0.364245, 0.364245
0.054305, 0.364726, 0.364726
0.054405, 0.365207, 0.365207
0.054505, 0.365687, 0.365687
0.054605, 0.366166, 0.366166
0.054705, 0.366645, 0.366645
0.054805, 0.367124, 0.367124
0.054905, 0.367602, 0.367602
0.055006, 0.368079, 0.368079
0.055106, 0.368556, 0.368556
0.055206, 0.369032, 0.369032
0.055306, 0.369507, 0.369507
0.055406, 0.369982, 0.369982
0.055506, 0.370457, 0.370457
0.055606, 0.370930, 0.370930
0.055706, 0.371404, 0.371404
0.055806, 0.371876, 0.371876
0.055906, 0.372348, 0.372348
0.056006, 0.372820, 0.372820
0.056106, 0.373291, 0.373291
0.056206, 0.373761, 0.373761
0.056306, 0.374231, 0.374231
0.056406, 0.374700, 0.374700
0.056506, 0.375169, 0.375169
0.056606, 0.375637, 0.375637
0.056706, 0.376104, 0.376104
0.056806, 0.376571, 0.376571
0.056906, 0.377038, 0.377038
0.057006, 0.377504, 0.377504
0.057106, 0.377969, 0.377969
0.057206, 0.378434, 0.378434
0.057306, 0.378898, 0.378898
0.057406, 0.379361, 0.379361
0.057506, 0.379824, 0.379824
0.057606, 0.380287, 0.380287
0.057706, 0.380749, 0.380749
0.057806, 0.381210, 0.381210
0.057906, 0.381671, 0.381671
0.058006, 0.382131, 0.382131
0.058106, 0.382591, 0.382591
0.058206, 0.383050, 0.383050
0.058306, 0.383508, 0.383508
0.058406, 0.383966, 0.383966
0.058506, 0.384424, 0.384424
0.058606, 0.384880, 0.384880
0.058706, 0.385337, 0.385337
0.058806, 0.385792, 0.385792
0.058906, 0.386248, 0.386248
0.059006, 0.386702, 0.386702
0.059106, 0.387156, 0.387156
0.059206, 0.387610, 0.387610
0.059306, 0.388063, 0.388063
0.059406, 0.388515, 0.388515
0.059506, 0.388967, 0.388967
0.059606, 0.389418, 0.389418
0.059706, 0.389869, 0.389869
